name,sourceUrl,itemId,style,webUrl,shortDescription,description,sellingPrice,basePrice,colorName,colorGroup,size,storeDepartment,productClass,brand,category
Wunder Train Mesh-Back Bra Medium Support BC Cup,https://images.lululemon.com/is/image/lululemon/LW2ERGS_077007_1?wid=1200&fmt=webp&qlt=90,LULU-14,prod20001311,https://shop.lululemon.com/p/women-bras-and-underwear/Wunder-Train-Mesh-Back-Bra-Medium-Support-BC-Cup/_/prod20001311?fp=1&color=77007,"Wunder Train Mesh-Back Bra, B/C Cup","Wunder Train Mesh-Back Bra, B/C Cup",58,58,Raspberry Rave,Raspberry Rave,2,LululemonWomen,LululemonWomenBras,lululemon,sports bra
lululemon Focuser Halter Bra Light Support AB Cup,https://images.lululemon.com/is/image/lululemon/LW2EXRS_0001_1?wid=1200&fmt=webp&qlt=90,LULU-15,hsiqedftje,https://shop.lululemon.com/p/lululemon-focuser-halter-bra-light-support-ab-cup/hsiqedftje?fp=1&color=0001,"lululemon Focuser Halter Bra, A/B Cup","lululemon Focuser Halter Bra, A/B Cup",58,58,Black,Black,XS,LululemonWomen,LululemonWomenBras,lululemon,sports bra
Wundermost Ultra-Soft Nulu Triangle Bralette AC Cups,https://images.lululemon.com/is/image/lululemon/LW2F72S_031045_1?wid=1200&fmt=webp&qlt=90,LULU-16,lvgbinu6si,https://shop.lululemon.com/p/wundermost-ultra-soft-nulu-triangle-bralette-ac/lvgbinu6si?fp=1&color=31045,Wundermost Ultra-Soft Nulu Triangle Bralette,Wundermost Ultra-Soft Nulu Triangle Bralette,48,48,Heathered Core Medium Grey,Heathered Core Medium Grey,XXS,LululemonWomen,LululemonWomenBras,lululemon,sports bra
Wundermost Ultra-Soft Nulu Scoop-Neck Bralette DDDD Cups,https://images.lululemon.com/is/image/lululemon/LW2F71S_031045_1?wid=1200&fmt=webp&qlt=90,LULU-17,t4hjxzbqsr,https://shop.lululemon.com/p/wundermost-ultra-soft-nulu-scoop-neck-bral-d-ddd/t4hjxzbqsr?fp=1&color=31045,Wundermost Ultra-Soft Nulu Scoop-Neck Bralette,Wundermost Ultra-Soft Nulu Scoop-Neck Bralette,48,48,Heathered Core Medium Grey,Heathered Core Medium Grey,XXS,LululemonWomen,LululemonWomenBras,lululemon,sports bra
Fast and Free Bra Medium Support BC Cup,https://images.lululemon.com/is/image/lululemon/LW2EXCS_0001_1?wid=1200&fmt=webp&qlt=90,LULU-18,lo1e2piv94,https://shop.lululemon.com/p/fast-and-free-bra-medium-support-bc-cup/lo1e2piv94?fp=1&color=0001,"Fast and Free Bra, B/C Cup","Fast and Free Bra, B/C Cup",78,78,Black,Black,XXS,LululemonWomen,LululemonWomenBras,lululemon,sports bra
Seamless Stripe Trim Mid-Rise Short 3,https://images.lululemon.com/is/image/lululemon/LW7EBAS_076025_1?wid=1200&fmt=webp&qlt=90,LULU-19,j5h2lwdenx,https://shop.lululemon.com/p/seamless-stripe-trim-mid-rise-short-3/j5h2lwdenx?fp=1&color=76025,Seamless Stripe Trim Mid-Rise Short 3",Seamless Stripe Trim Mid-Rise Short 3",78,78,Burgundy Bay/True Navy,Burgundy Bay/True Navy,XXS,LululemonWomen,LululemonWomenShorts,lululemon,shorts
Scuba Evolve Oversized Short 5,https://images.lululemon.com/is/image/lululemon/LW7EBIS_076615_1?wid=1200&fmt=webp&qlt=90,LULU-20,lrwnw9fjpf,https://shop.lululemon.com/p/scuba-evolve-oversized-short-5/lrwnw9fjpf?fp=1&color=76615,Scuba Evolve Oversized Short 5",Scuba Evolve Oversized Short 5",68,68,Remixed Marine,Remixed Marine,XXS,LululemonWomen,LululemonWomenShorts,lululemon,shorts
Tennis Track Short 4,https://images.lululemon.com/is/image/lululemon/LW7DWFS_077779_1?wid=1200&fmt=webp&qlt=90,LULU-21,jocyfzkwp3,https://shop.lululemon.com/p/tennis-track-short-4/jocyfzkwp3?fp=1&color=77779,Tennis Track Short 4",Tennis Track Short 4",98,98,Dreamy Blue/Raspberry Rave,Dreamy Blue/Raspberry Rave,XXS,LululemonWomen,LululemonWomenShorts,lululemon,shorts
Fast and Free Mid-Rise Split Short 3 Updated Design,https://images.lululemon.com/is/image/lululemon/LW7DYOS_077584_1?wid=1200&fmt=webp&qlt=90,LULU-22,lo58ihlu08,https://shop.lululemon.com/p/fast-and-free-mid-rise-split-short3-updated-design/lo58ihlu08?fp=1&color=77584,Fast and Free Mid-Rise Split Short 3",Fast and Free Mid-Rise Split Short 3",78,78,Flamingo Fun Tone,Flamingo Fun Tone,XXS,LululemonWomen,LululemonWomenShorts,lululemon,shorts
Fast and Free 6-Pocket High-Rise Short 6 Updated Design,https://images.lululemon.com/is/image/lululemon/LW7DW2S_077007_1?wid=1200&fmt=webp&qlt=90,LULU-23,lls9u4wd92,https://shop.lululemon.com/p/fast-and-free-6-pocket-high-rise-short-6-updated/lls9u4wd92?fp=1&color=77007,Fast and Free 6-Pocket High-Rise Short 6",Fast and Free 6-Pocket High-Rise Short 6",78,78,Raspberry Rave,Raspberry Rave,0,LululemonWomen,LululemonWomenShorts,lululemon,shorts
Sleek Perforated 2-in-1 High-Rise Short,https://images.lululemon.com/is/image/lululemon/LW7DW5S_077066_1?wid=1200&fmt=webp&qlt=90,LULU-24,j9a17uv2it,https://shop.lululemon.com/p/sleek-perforated-2-in-1-high-rise-short/j9a17uv2it?fp=1&color=77066,Sleek Perforated 2-in-1 High-Rise Short,Sleek Perforated 2-in-1 High-Rise Short,108,108,Sassy Sage,Sassy Sage,XXS,LululemonWomen,LululemonWomenShorts,lululemon,shorts
