sourceName,brand,sourceUrl,localFile,category,status,notes,itemId,style,webUrl,shortDescription,description,sellingPrice,basePrice,colorName,colorGroup,size,sizeSortSequence,colorSortSequence,storeDepartment,productClass,style1,style2,adjustQuantity,rating,earringType,metalType,departmentNumber,departmentName,vasTypeId,locationId,caLocationId,weight,volume
Scuba Evolve Oversized Half-Zip Hoodie,lululemon,https://images.lululemon.com/is/image/lululemon/LW3LH2S_079641_1?wid=1200&fmt=webp&qlt=90,Scuba_Evolve_Oversized_Half_Zip_Hoodie.webp,hoodie,,,LULU-11,lp4yqrz3sp,https://shop.lululemon.com/p/scuba-evolve-oversized-half-zip-hoodie/lp4yqrz3sp?fp=1&color=79641,Scuba Evolve Oversized Half-Zip Hoodie,Scuba Evolve Oversized Half-Zip Hoodie,128,128,Toasted Pink/Gold,Toasted Pink/Gold,XXS,,,LululemonWomen,LululemonWomenHoodies,,,,,,,,,,,,,
Scuba Evolve Classic Full-Zip Hoodie,lululemon,https://images.lululemon.com/is/image/lululemon/LW3LH6S_079641_1?wid=1200&fmt=webp&qlt=90,Scuba_Evolve_Classic_Full_Zip_Hoodie.webp,hoodie,,,LULU-12,lopmi7nqah,https://shop.lululemon.com/p/scuba-evolve-classic-full-zip-hoodie/lopmi7nqah?fp=1&color=79641,Scuba Evolve Classic Full-Zip Hoodie,Scuba Evolve Classic Full-Zip Hoodie,138,138,Toasted Pink/Gold,Toasted Pink/Gold,XXS,,,LululemonWomen,LululemonWomenHoodies,,,,,,,,,,,,,
Groove Yoga Bra Light Support BC Cup Striped Trim,lululemon,https://images.lululemon.com/is/image/lululemon/LW2F47S_031382_1?wid=1200&fmt=webp&qlt=90,Groove_Yoga_Bra_Light_Support_BC_Cup_Striped_Trim.webp,sports bra,,,LULU-13,gqy1gojhkf,https://shop.lululemon.com/p/groove-yoga-bra-light-support-bc-cup-striped-trim/gqy1gojhkf?fp=1&color=31382,"Groove Yoga Bra Light Support, B/C Cup","Groove Yoga Bra Light Support, B/C Cup",58,58,True Navy,True Navy,XXS,,,LululemonWomen,LululemonWomenBras,,,,,,,,,,,,,
Wunder Train Mesh-Back Bra Medium Support BC Cup,lululemon,https://images.lululemon.com/is/image/lululemon/LW2ERGS_077007_1?wid=1200&fmt=webp&qlt=90,Wunder_Train_Mesh_Back_Bra_Medium_Support_BC_Cup.webp,sports bra,,,LULU-14,prod20001311,https://shop.lululemon.com/p/women-bras-and-underwear/Wunder-Train-Mesh-Back-Bra-Medium-Support-BC-Cup/_/prod20001311?fp=1&color=77007,"Wunder Train Mesh-Back Bra, B/C Cup","Wunder Train Mesh-Back Bra, B/C Cup",58,58,Raspberry Rave,Raspberry Rave,2,,,LululemonWomen,LululemonWomenBras,,,,,,,,,,,,,
lululemon Focuser Halter Bra Light Support AB Cup,lululemon,https://images.lululemon.com/is/image/lululemon/LW2EXRS_0001_1?wid=1200&fmt=webp&qlt=90,Lululemon_Focuser_Halter_Bra_Light_Support_AB_Cup.webp,sports bra,,,LULU-15,hsiqedftje,https://shop.lululemon.com/p/lululemon-focuser-halter-bra-light-support-ab-cup/hsiqedftje?fp=1&color=0001,"lululemon Focuser Halter Bra, A/B Cup","lululemon Focuser Halter Bra, A/B Cup",58,58,Black,Black,XS,,,LululemonWomen,LululemonWomenBras,,,,,,,,,,,,,
Wundermost Ultra-Soft Nulu Triangle Bralette AC Cups,lululemon,https://images.lululemon.com/is/image/lululemon/LW2F72S_031045_1?wid=1200&fmt=webp&qlt=90,Wundermost_Ultra_Soft_Nulu_Triangle_Bralette_AC_Cups.webp,sports bra,,,LULU-16,lvgbinu6si,https://shop.lululemon.com/p/wundermost-ultra-soft-nulu-triangle-bralette-ac/lvgbinu6si?fp=1&color=31045,Wundermost Ultra-Soft Nulu Triangle Bralette,Wundermost Ultra-Soft Nulu Triangle Bralette,48,48,Heathered Core Medium Grey,Heathered Core Medium Grey,XXS,,,LululemonWomen,LululemonWomenBras,,,,,,,,,,,,,
Wundermost Ultra-Soft Nulu Scoop-Neck Bralette DDDD Cups,lululemon,https://images.lululemon.com/is/image/lululemon/LW2F71S_031045_1?wid=1200&fmt=webp&qlt=90,Wundermost_Ultra_Soft_Nulu_Scoop_Neck_Bralette_DDDD_Cups.webp,sports bra,,,LULU-17,t4hjxzbqsr,https://shop.lululemon.com/p/wundermost-ultra-soft-nulu-scoop-neck-bral-d-ddd/t4hjxzbqsr?fp=1&color=31045,Wundermost Ultra-Soft Nulu Scoop-Neck Bralette,Wundermost Ultra-Soft Nulu Scoop-Neck Bralette,48,48,Heathered Core Medium Grey,Heathered Core Medium Grey,XXS,,,LululemonWomen,LululemonWomenBras,,,,,,,,,,,,,
Fast and Free Bra Medium Support BC Cup,lululemon,https://images.lululemon.com/is/image/lululemon/LW2EXCS_0001_1?wid=1200&fmt=webp&qlt=90,Fast_And_Free_Bra_Medium_Support_BC_Cup.webp,sports bra,,,LULU-18,lo1e2piv94,https://shop.lululemon.com/p/fast-and-free-bra-medium-support-bc-cup/lo1e2piv94?fp=1&color=0001,"Fast and Free Bra, B/C Cup","Fast and Free Bra, B/C Cup",78,78,Black,Black,XXS,,,LululemonWomen,LululemonWomenBras,,,,,,,,,,,,,
Seamless Stripe Trim Mid-Rise Short 3,lululemon,https://images.lululemon.com/is/image/lululemon/LW7EBAS_076025_1?wid=1200&fmt=webp&qlt=90,Seamless_Stripe_Trim_Mid_Rise_Short_3.webp,shorts,,,LULU-19,j5h2lwdenx,https://shop.lululemon.com/p/seamless-stripe-trim-mid-rise-short-3/j5h2lwdenx?fp=1&color=76025,"Seamless Stripe Trim Mid-Rise Short 3""","Seamless Stripe Trim Mid-Rise Short 3""",78,78,Burgundy Bay/True Navy,Burgundy Bay/True Navy,XXS,,,LululemonWomen,LululemonWomenShorts,,,,,,,,,,,,,
Scuba Evolve Oversized Short 5,lululemon,https://images.lululemon.com/is/image/lululemon/LW7EBIS_076615_1?wid=1200&fmt=webp&qlt=90,Scuba_Evolve_Oversized_Short_5.webp,shorts,,,LULU-20,lrwnw9fjpf,https://shop.lululemon.com/p/scuba-evolve-oversized-short-5/lrwnw9fjpf?fp=1&color=76615,"Scuba Evolve Oversized Short 5""","Scuba Evolve Oversized Short 5""",68,68,Remixed Marine,Remixed Marine,XXS,,,LululemonWomen,LululemonWomenShorts,,,,,,,,,,,,,
Tennis Track Short 4,lululemon,https://images.lululemon.com/is/image/lululemon/LW7DWFS_077779_1?wid=1200&fmt=webp&qlt=90,Tennis_Track_Short_4.webp,shorts,,,LULU-21,jocyfzkwp3,https://shop.lululemon.com/p/tennis-track-short-4/jocyfzkwp3?fp=1&color=77779,"Tennis Track Short 4""","Tennis Track Short 4""",98,98,Dreamy Blue/Raspberry Rave,Dreamy Blue/Raspberry Rave,XXS,,,LululemonWomen,LululemonWomenShorts,,,,,,,,,,,,,
Fast and Free Mid-Rise Split Short 3 Updated Design,lululemon,https://images.lululemon.com/is/image/lululemon/LW7DYOS_077584_1?wid=1200&fmt=webp&qlt=90,Fast_And_Free_Mid_Rise_Split_Short_3_Updated_Design.webp,shorts,,,LULU-22,lo58ihlu08,https://shop.lululemon.com/p/fast-and-free-mid-rise-split-short3-updated-design/lo58ihlu08?fp=1&color=77584,"Fast and Free Mid-Rise Split Short 3""","Fast and Free Mid-Rise Split Short 3""",78,78,Flamingo Fun Tone,Flamingo Fun Tone,XXS,,,LululemonWomen,LululemonWomenShorts,,,,,,,,,,,,,
Fast and Free 6-Pocket High-Rise Short 6 Updated Design,lululemon,https://images.lululemon.com/is/image/lululemon/LW7DW2S_077007_1?wid=1200&fmt=webp&qlt=90,Fast_And_Free_6_Pocket_High_Rise_Short_6_Updated_Design.webp,shorts,,,LULU-23,lls9u4wd92,https://shop.lululemon.com/p/fast-and-free-6-pocket-high-rise-short-6-updated/lls9u4wd92?fp=1&color=77007,"Fast and Free 6-Pocket High-Rise Short 6""","Fast and Free 6-Pocket High-Rise Short 6""",78,78,Raspberry Rave,Raspberry Rave,0,,,LululemonWomen,LululemonWomenShorts,,,,,,,,,,,,,
Sleek Perforated 2-in-1 High-Rise Short,lululemon,https://images.lululemon.com/is/image/lululemon/LW7DW5S_077066_1?wid=1200&fmt=webp&qlt=90,Sleek_Perforated_2_In_1_High_Rise_Short.webp,shorts,,,LULU-24,j9a17uv2it,https://shop.lululemon.com/p/sleek-perforated-2-in-1-high-rise-short/j9a17uv2it?fp=1&color=77066,Sleek Perforated 2-in-1 High-Rise Short,Sleek Perforated 2-in-1 High-Rise Short,108,108,Sassy Sage,Sassy Sage,XXS,,,LululemonWomen,LululemonWomenShorts,,,,,,,,,,,,,
